OrderFeedbackDate_Key,Customer_Key,OrderFeedbackScore,OrderFeedBackText
20190812,14492849,2,Følger ikke GDPR ved at have checkbokse om anbefalinger via email afkrydset per automatik.
20190817,1683083,10,Altid klar til at give svar på spørgsmål.
20190829,12155848,10,"Saxo har et stort utvalg av bøker, og er meget behjelpelige overfor meg som kunde. Ikke minst det siste setter jeg stor pris på."
20190901,689724,10,Jeg har tidligere koebt boeger via Saxo og alrid vaeret fuldt ud tilfreds.
20190912,561521,4,Alt for tidligt at svare på anbefalingsvillighed. Jeg har jo ikke modtaget min ordre endnu!
20190913,965891,10,"Det eneste sted, hvor jeg kunne få den bog jeg ledte efter??"
20191002,1268378,10,Nemt og hurtig. Og fint der også er mulighed for at bestille brugte bøger gennem jeres side.
20190109,508431,9,"Fordi jeg ikke har haft unødigt besvær, og kommunikationen har været klar."
20190123,55043,10,Super service!
20191104,12212879,5,Jonas er OK. Men kundeservice er the shizzle
20191104,940921,10,Billige bøger og super hurtig betjening. What's not to like!!!
20191108,1803308,10,Altid en fornøjelse at handle hos.
20191122,120072,3,Hjemmesiden ikke brugervenlig når man vil bestille. Krav om log in mv. Det er for omstændeligt og besværligt. Lige før I mistede salget!
20191122,1889411,10,Fantastisk hurtig betjening og afsendelse af pakkerne. Super god hjælp ved problemer.
20191204,14853583,6,nej
20191205,13970198,9,"Topkaraktér gives kun, hvis man rent faktisk kan skaffe ALLE de bøger, som man reklamerer med."
20191208,14141531,7,Det fungerer godt her his Saxo. 
20191209,12156084,3,"Ualmindelig dårlig hjemmeside til bestilling og betaling. Jeg har opgivet betalingskort oplysninger; alligevel bedes om dem igen? Fordi jeg blandt købene har en brugt bog, skal der jeg bestille den særskilt og så starte forfra. Må kunne gøres meget bedre.

mvh

Peter Aarby"
20191209,1834074,10,Altid god service og ekstrem hurtig levering! Amazon < Saxo
20191210,11919025,8,.
20191220,1109459,5,a
20191226,940010,10,Altid god service
20200102,1233349,5,"1. På forsiden loves jeg 20% januarrabat på alt undtagen studiebøger. Men får at vide at rabatkoden JANUAR20 er ugyldig, da jeg bestiller en brugt bog (som er udsolgt fra forlaget)
2.Jeg ønsker to eks af bogen, men kan ikke afgive en samlet ordre, da den er brugt, dermed bliver jeg afkrævet dobbelt gebyr. 
Ovenstående fremgår ikke, før jeg er lang"
20190530,1773761,10,"godt overblik for brugeren , mig....stort udvalg ...fine fragtforhold"
20190531,1776100,8,ikke umiddelbart
20190602,1221370,10,"Saxo handler også med ældre, brugte bøger. Det er en god ting i disse genbrugstider."
20190616,14663318,10,Flotte bøger og hurtig levering 
20190706,14765723,0,"Jeg har betalt dobbelt, det er første gang jeg benytter mig af jeres hjemmeside. Det er ikke optimalt. Simpelthen for ringe tilbagefør venligst beløbet 114 kr "
20190201,1253727,10,Altid parat og hurtig ekspedition. Nemt og bekvemt.
20190207,14356021,10,Det er jo næsten sikkert I kan skaffe de bøger man ønsker
20190210,127096,8,"Stort sortiment, lovet leveringstid overholdes, overskuelig webside"
20190213,1540041,10,spitze
20190221,1139237,10,Altid god service.
20190303,1868103,2,"I forhold til netboghandlen Plusbog inkl., medlemsbidrag er Jeres bøger for dyre.
"
20190309,1804685,6,"feedback er lidt svært, jeg har jo ikke modtaget varen endnu."
20190310,559724,6,"stort udvalg,hurtig service"
20190310,12229645,10,"Hurtig,billig og nem service"
20200103,14823764,10,"Jeg har givet karakteren 10, fordi I altid giver sublim kundeservice samt hurtig levering."
20200104,729370,10,"Jeg bruger hovedsaglig saxos hjemmeside til at finde brugte og sjældne bøger, der er udgået fra Forlaget. Som regel er jeg heldig at finde det jeg søger. "
20190121,14361526,9,"Muligvis vil jeg anbefale det, men jeg ser ikke nogen speciel rabat til mig og abo er alt, alt for dyrt, det kan slet ikke betale sig og burde bære helt gratis."
20190128,1229924,9,"Hurtigt,  sikkert og enkelt"
20190220,1080189,10,God og pålidelig handelspartner.
20190303,14539156,10,Simpel og overskuelig hjemmeside. Hurtig levering.
20190319,14609593,5,"næe , ikke noget , ENDNU ."
20190330,1734170,10,Enkelt
20190409,1217761,10,"Finder altid hvad jeg søger, nye eller brugte bøger. God service, gode priser."
20190423,12198492,10,I er gode at handle med.
20190425,14652284,9,"Jeg vidste ikke, det er muligt, købe brugte bøger som jeg ikke har noget imod, spare penge på,"
20190103,546003,10,"Kæmpe udvalg, hurtig ekspedition, gode priser "
20190108,1348225,9,"Mange bøger

Gode priser"
20190113,983158,10,Altid god service
20190131,12225382,10,"Jeg har kun oplevet hurtig og tjekket handel. det føles trygt, på trods af, at det er nethandel og jeg ikke taler med et levende menneske. Tommel op."
20190201,1088268,10,Excellent behandling og ekspedition
20190208,14514651,1,fik lige information af en veninde som bor i DK ( for 2 timer siden )
20190208,1628129,10,Hurtig og nemt at handle hos Saxo
20190224,1252484,10,"Billige varer, som kommer den dag, de lover."
20190301,14584786,10,Let og smertefrit !!
20190311,1383209,10,"stort udvalg af børne-, ungdoms-, bøger - krimier, klassikere, faglitteratur - Kort fortalt: SAXO har alle de bøger du må kunne ønske dig og - så er det nemt- hurtigt og billigt"
20190402,12234177,10,nej
20190507,1210857,9,"Jeg er faglærer i Folkeskolen med musik, religion, historie, natur/teknik og idræt som mine hovedfag og har snart 20 års erfaring. Saxo har jeg benyttet i mange år, dog med længere pauser. I yder en meget fin service og man får hurtigt et svar, hvis man her brug for hjælp"
20191105,1793227,8,"Hvis jeg møder nogen, som er interesseret i bøger, kan jeg anbefale SAXO som en alsidig bogklub"
20191113,14850471,10,Jeg har før handlet hos jer uden problemer ??
20191114,14850728,10,"Nemt, hurtigt og effektivt..??"
20191127,1212126,7,"Jeg er glad for at bruge saxo, men det vil også afhænge af hvad han eller hun søger, om jeg vil anbefale saxo. "
20191220,14884841,7,"Hvis man vil købe en bog, så virker dette til at være et godt sted, da man også kan købe bøgerne brugt."
20190116,1860237,10,Jeg giver selv gavekort til SAXO så det viser at jeg er meget tilfreds. Også med bøgerne der er brugte. De er i fin stand og i har en super service. Tak :-)
20190119,14405374,10,Jeg har fundet bøger her som er næsten umulige at finde. Så det er et klart +
20190123,13997145,9,Det fungere når man booker bøger her :)
20190123,966576,9,Mobil versionen kunne godt være mere flydende. Den hakker af og til
20190125,1126553,9,I har bare dét jeg leder efter - hver gang ??
20190208,11957927,10,"Dejlig, venlig og hurtig boghandel, får leveret lige til døren eller som e-bog, hvis man hellere vil have det, og det er direkte til din telefon, computer eller iPad, nemmere kan det ikke blive. "
20190305,1147637,10,"Saxo har et stort udvalg, billige priser og hurtig service."
20190311,12000822,9,"God service (dejligt med mulighed for hjælp på chatten), stort udvalg af bøger, lækkert med brugte bøger(!) og som studerende sætter jeg stor pris på, at der så hyppigt er rabatter på siden. Der kan være fejl ift. track and trace + levering, hvilket jeg er mindre begejstret for, men alt i alt er jeg glad for sitet."
20190324,14616900,7,Det kommer jo an på hvordan bogens beskaffenhed. 
20190401,14624924,10,Fin service - fungerer perfekt.
20190413,932255,9,Hurtig levering
20190418,12304035,5,søgesiden og funktionen  er  håbløs
20190428,14601071,10,Perfekt behandling og levering
20191016,14829123,7,"Det er nemt
"
20191018,14837323,10,God og brugervenlig hjemmeside. Godt udvalg til fornuftige priser.
20191031,1780967,1,"medlemsskabet er for dyrt, hjemmesiden er ikke logisk og nem at finde rundt i
"
20191105,12172943,10,"Alt fungerer fint, I er nemme at komme I kontakt med ?? så jeg er en glad kunde."
20191113,1118698,8,"Det er en fed butik, og har ""næsten"" alt.. men jeg funktioner på hjemmesiden er ikke helt på plads endnu... der er for meget bøvl med søgefunktionen, skift imellem visninger af bøger og tilbage til søgninger er noget fejlbehæftet. Ligeledes er der ikke styr på indholdet i kurven, når der fyldt godt i kurven og man så skal logge ind... så smutter k"
20191201,12055524,10,"I har et stort udvalg af både nye og brugte bøger. Jeres hjemmeside er nem at finde rundt i, og levering er til tiden."
20191205,11911913,9,"Premium medlemsskab er et godt produkt, hvis du har brug for - plads og råd til at købe mange bøger"
20191228,1756892,10,Et enormt udvalg kombineret med Saxo Premium får mig til at føle som et barn i en slikbutik. Særligt den gratis levering er genial.
20200109,499788,9,"Ja! Det er fedt at I nu samarbejder med virksomheder som sælger brugte bøger - det er rigtig godt, at jeg kan finde bogen (som er udgået fra forlag) et sted jeg har tillid til - Jer! (Efter mange succesfulde handler)."
20190529,12276281,1,Min mor. Inger-Margrethe Breinholt
20190605,795252,4,Rodet hj.side akt for mange eksempler på andre bøger I mener man også skal kigge i gennemgår man søger efter 1! bestemt bog 
20190607,1862474,10,Altid fin service og hurtig levering!
20190611,837671,10,en godt sted at handle - alle gode bøger til rimelig pris.
20190617,1839906,10,Bruger ofte Saxo. Stort udvalg af nye og gamle bøger. Pålideligt
20190625,1284948,8,"udmærket bogudvalg, men dobbeltkontrollen med både kortcifre og så bank/ nem ID proceduren er
jo noget langstrakt og omstændelig.Men sikkerheden skal selvfølgelig i højsædet,men det er dog
uhyre beklageligt at kriminelle og hackere på den måde får lov til at besværliggøre livet for os andre.
Den store frigørende It ""revolution"" er jo blevet en par"
20190628,1786881,10,God hurtig service nem hjemmeside
20190708,1702330,10,I har altid det jeg søger.
20190709,738783,10,"Er godt tilfreds. Bruger både bogkøb og streming. Har først meldt mig ind da jeg så man også kan streeme lydbøger. Savner lidt flere spirituelle lydbøger, gerne engelske læst af forfatteren selv, bl.a. Byron Katie, Gangaji, Adyashanti mv."
20190710,1260679,10,Altid god Kunde betjening hos Saxo. Tak. Bogglæde alice
20190717,1591464,10,"God og overskuelig hjemmeside, hurtig levering"
20190814,1877253,10,Hjemmeside fungerer perfekt!
20190830,787030,10,Saxo har det bedste udvalg af bøger- +finfin forsendelsesproces??
20190915,1185284,7,Har bestilt samme bog to gange. Men noget mp været gået galt. 
20190923,357432,7,Fedt med brugte bøger
20190929,14745534,0,I må selv skaffe nye kunder. Kom ind i nutiden. Ambassadørkundebegrebet hører til i Carlzons firsere. 
20190405,1611505,10,Oplever god service og et godt udvalg - også når det gælder ældre bøger.
20190414,14642383,10,"Når man nu ikke længere kan købe bogen som tryksværteny - så er det fremragende, at kunne finde den hos jer... Tak for assistancen!"
20190423,14649469,10,"I er bare gode!
:-)"
20190426,12080715,10,Rigtig god service gennem telefonen
20190506,12309646,9,Hos SAXO kan man næsten altid finde de bøger / den bog man leder efter ... enten som ny eller som brugt.
20191029,12020022,0,"Dyrt at få bøgerne hjem, underligt at man ikke kan bestille brugte bøger samtidigt med nye, men skal betale fragt separat og derfor to gange i stedet for en gang."
20191029,1136504,10,Har købt utallige kvalitetsbøger hos Saxo og bøgerne kommer ret hurtigt.
20191104,1126800,10,Man kan ofte købe vores studiebøger til en billigere pris på saxo end hos vores egen boghandler. Og det er fedt at man kan købe bruge bøger
20191115,998492,9,Hurtig levering
20191118,1803308,10,Altid god service og hurtig levering
20191119,1623951,10,nemt og sikkert
20191202,1640444,10,Gamle bøger får nyt liv. Det er fedt! 
20191213,12210769,10,Enkelt og hurtigt
20200108,1181348,10,"På det seneste har jeg oplevet, at der kommer en popopreklame for premium når jeg putter en bog i kurven selvom jeg allerede er logget ind på min premiumside. Det er overflødigt, og en lille smule irriterende på min mobilskærm, hvor den kan være svær at lukke ned."
20190630,1144334,0,Bah
20190702,14594442,10,Rekommenderas!!!
20190707,1133649,9,Supergod online bestilling
20190802,614569,10,"Fungerer altid. Superservice - dagen efter at jeg sendte en bog retur, fik jeg gavekort på beløbet i min mail. Det kalder jeg hurtig service :-)"
20190807,12069640,10,"Stort udvalg og mange nyheder. - Udsolgt fra forlaget, så er der mulighed for at finde gode brugte eksemplarer. Overskuelig søgning. Nyttige medlemsfordele ved Premium, Hurtig levering."
20190819,1197588,8,Det er nemt og let bruge.
20190828,14807867,10,"Der er normalt hurtig levering, og jeg håber at få denne bog inden lørdag, da min onkel har fødselsdag, og det er hans eneste ønske. Håber det er hard cover."
20190903,13970927,10,"Saxo har god service, og giver mig mulighed for at købe gode billige bøger. Der er god og hurtig kommunikation, og jeg har aldrig oplevet at mine produkter er kommet for sent."
20190907,1064065,10,Stort udvalg til gode priser
20190908,12306297,10,"Godt udvalg, okay priser.
Kun træls jeg ikke kunne bestille mine andre ønskebøger samtidig - noget med anden leverandør, antikvariat..."
20190910,14796310,10,God og hurtig betjening
20190913,1075864,10,Kan du ikke finde bogen - så kan SAXO finde den for dig   :)
20190916,13992086,10,Fordi bøgerne igennme SAXO er billigere end andre steder
20190617,771363,6,13 dag er en meget lang for ventet leveringstid.
20190628,12325745,4,"Bruger meget lidt, og kender meget lidt."
20190705,1610923,10,Føler mig godt behandlet.
20190713,12213914,10,"Jeg får, hvad jeg bestiller, ordentligt emballeret. Jeg kan finde bøger, der for længst er udgået fra boghandlerne. 
Jeg kan ikke finde noget at brokke mig over. :-)"
20190714,617131,8,nem måde at købe bøger på 
20190718,806045,10,"Udvalget er meget stort, og det går fint og hurtigt med leveringen."
20190805,1181967,10,"God og nem hjemmeside , stort udvalg "
20190825,14084783,10,great customer service
20190905,820873,10,"Der er ALTID lige den bog man skal bruge, også de brugte, det er fantastisk at man også kan finde de gode gamle antikviteter :)"
20191001,14652993,10,Hurtig levering og stort udvalg
20191006,11955738,10,"Det er mega fedt, at man kan købe brugte bøger. Godt for miljøet!"
20191008,12277176,10,nem og overskuelig hjemmeside + app.
20191009,573556,7,Kender ikke mange læsere
20191019,13981142,10,Saxo har mange bøger. Næsten alle. Det er godt. Tak for det.
20191020,1074899,6,LAD mig lige se hvorledes denne leverance forløber
20191020,13970927,10,"Det er en god side, der giver mange gode muligheder og man finder altid et eller andet man gerne vil have."
20191101,12342806,10,"Nemt, let og billigt."
20191103,12172943,10,"Alt foregår, lige ud af landevejen, ingen slinger i valsen ??"
20191120,628686,6,"Saxo tilbyder både nye og brugte bøger, har en stor søgedatabase, så sandsynligheden for at finde den bog, jeg søger her, er stor."
20191128,1531054,10,Superduper at kunne købe denne bog via Saxo! Den har jeg ledt efter længe??
20191130,732672,9,"I er bare gode og det virker hver gang
Med venlig hilsen
Uffe Andersen"
20191207,13970927,10,God service. overholder det de lover.
20191218,1241748,10,Fungerer altid godt og hurtigt
